ELAN Touchpad 11.15.0.18_X64                                                                         - X64 - 11.15.0.18
Update for Microsoft Office 2013 (KB3191872) 64-Bit Edition                                          - X64 - 
Update for Microsoft Office 2013 (KB3054819) 64-Bit Edition                                          - X64 - 
Security Update for Microsoft Excel 2013 (KB4461460) 64-Bit Edition                                  - X64 - 
Update for Microsoft Office 2013 (KB3039720) 64-Bit Edition                                          - X64 - 
Security Update for Microsoft Office 2013 (KB3162051) 64-Bit Edition                                 - X64 - 
Microsoft PowerPoint MUI (English) 2013                                                              - X64 - 15.0.4569.1506
Security Update for Microsoft Excel 2013 (KB4461460) 64-Bit Edition                                  - X64 - 
Security Update for Microsoft PowerPoint 2013 (KB4092453) 64-Bit Edition                             - X64 - 
Update for Microsoft Office 2013 (KB3039720) 64-Bit Edition                                          - X64 - 
Microsoft Publisher MUI (English) 2013                                                               - X64 - 15.0.4569.1506
Update for Microsoft Publisher 2013 (KB3114329) 64-Bit Edition                                       - X64 - 
Update for Microsoft Office 2013 (KB3039720) 64-Bit Edition                                          - X64 - 
Microsoft Outlook MUI (English) 2013                                                                 - X64 - 15.0.4569.1506
Update for Microsoft Outlook Social Connector 2013 (KB3054854) 64-Bit Edition                        - X64 - 
Security Update for Microsoft Outlook 2013 (KB4092477) 64-Bit Edition                                - X64 - 
Update for Microsoft Office 2013 (KB3039720) 64-Bit Edition                                          - X64 - 
Security Update for Microsoft Word 2013 (KB4461457) 64-Bit Edition                                   - X64 - 
Microsoft Word MUI (English) 2013                                                                    - X64 - 15.0.4569.1506
Security Update for Microsoft Excel 2013 (KB4461460) 64-Bit Edition                                  - X64 - 
Update for Microsoft Office 2013 (KB3039720) 64-Bit Edition                                          - X64 - 
Security Update for Microsoft Word 2013 (KB4461457) 64-Bit Edition                                   - X64 - 
Microsoft Office Proofing Tools 2013 - English                                                       - X64 - 15.0.4569.1506
Update for Microsoft Office 2013 (KB3172510) 64-Bit Edition                                          - X64 - 
Update for Microsoft Office 2013 (KB3039720) 64-Bit Edition                                          - X64 - 
Outils de vérification linguistique 2013 de Microsoft Office - Français                              - X64 - 15.0.4569.1506
Update for Microsoft Office 2013 (KB3039720) 64-Bit Edition                                          - X64 - 
Update for Microsoft Office 2013 (KB3172510) 64-Bit Edition                                          - X64 - 
Microsoft Office Proofing Tools 2013 - Español                                                       - X64 - 15.0.4569.1506
Update for Microsoft Office 2013 (KB3172510) 64-Bit Edition                                          - X64 - 
Update for Microsoft Office 2013 (KB3039720) 64-Bit Edition                                          - X64 - 
Microsoft Office Proofing (English) 2013                                                             - X64 - 15.0.4569.1506
Update for Microsoft Office 2013 (KB3039720) 64-Bit Edition                                          - X64 - 
Microsoft InfoPath MUI (English) 2013                                                                - X64 - 15.0.4569.1506
Update for Microsoft Office 2013 (KB3039720) 64-Bit Edition                                          - X64 - 
Update for Microsoft InfoPath 2013 (KB3114946) 64-Bit Edition                                        - X64 - 
Microsoft Office Shared MUI (English) 2013                                                           - X64 - 15.0.4569.1506
Security Update for Microsoft Office 2013 (KB4011580) 64-Bit Edition                                 - X64 - 
